Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),101.29,99.02,101.84,1012.86,99.20,99.94,100.86,101.41,101.51,101.67,101.80,101.82,101.84,0.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1740.20,1383.00,2246.00,17402.00,1393.35,1434.75,1486.50,1511.75,1727.50,1878.50,2052.50,2149.25,2226.65,258.01
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,2.02,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.11,1.84,0.61
HTTP Connection Overhead (ms),0.34,0.00,3.43,3.43,0.00,0.00,0.00,0.00,0.00,0.00,0.34,1.89,3.13,1.03
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),521.36,414.17,670.49,5213.61,417.40,430.30,446.42,452.74,517.03,563.13,616.39,643.44,665.08,77.03
HTTP Data Sent (KB),2.51,2.28,2.69,25.07,2.28,2.28,2.28,2.47,2.52,2.61,2.66,2.67,2.68,0.13
HTTP DNS Lookup (ms),0.14,0.00,1.41,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.78,1.28,0.42
HTTP Duration (excl. conn) (ms),17148.91,13644.54,22036.00,171489.13,13743.32,14138.44,14632.33,14856.12,16983.56,18805.41,20126.85,21081.43,21845.08,2541.85
HTTP Receiving (ms),16789.07,13307.97,21711.78,167890.71,13412.17,13828.96,14349.95,14564.48,16656.84,18134.72,19820.21,20765.99,21522.62,2507.06
HTTP Sending (ms),0.50,0.21,2.50,4.96,0.21,0.21,0.21,0.21,0.22,0.35,0.75,1.62,2.32,0.68
HTTP Total Time (ms),17149.26,13644.54,22036.00,171492.57,13743.32,14138.44,14632.33,14856.12,16983.56,18807.99,20126.85,21081.43,21845.08,2542.09
HTTP Waiting (TTFB) (ms),359.35,276.15,812.83,3593.47,277.24,281.64,287.14,298.72,308.20,333.15,388.23,600.53,770.37,152.39
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),9.66,0.00,31.29,167599.54,8.88,9.27,9.38,9.52,9.65,9.78,9.94,10.08,10.49,0.46
Inter Token Latency (ms),9.66,9.64,9.68,96.60,9.64,9.65,9.65,9.66,9.66,9.66,9.67,9.68,9.68,0.01
Output Sequence Length (tokens),1735.80,1378.00,2240.00,17358.00,1388.62,1431.10,1484.20,1506.25,1722.50,1875.25,2048.30,2144.15,2220.83,257.82
Output Token Count (tokens),888.40,664.00,1297.00,8884.00,671.11,699.55,735.10,791.00,825.50,928.75,1107.10,1202.05,1278.01,174.52
Output Token Throughput Per User (tokens/sec/user),103.52,103.26,103.70,1035.22,103.28,103.36,103.45,103.51,103.53,103.56,103.60,103.65,103.69,0.10
Prefill Throughput Per User (tokens/sec/user),1582.41,660.52,1866.94,15824.15,738.61,1050.97,1441.42,1563.37,1682.51,1732.11,1799.55,1833.24,1860.20,322.94
Reasoning Token Count (tokens),847.40,635.00,1198.00,8474.00,636.53,642.65,650.30,709.75,858.50,942.50,986.50,1092.25,1176.85,166.01
Request Latency (ms),17138.15,13634.11,22025.18,171381.55,13732.87,14127.89,14621.66,14845.49,16972.99,18794.22,20115.93,21070.55,21834.25,2541.67
Time to First Output Token (ms),8540.31,6461.77,11868.85,85403.13,6477.64,6541.15,6620.53,7158.10,8582.61,9416.06,10279.81,11074.33,11709.95,1637.20
Time to First Token (ms),378.20,294.60,832.67,3782.01,295.71,300.14,305.68,317.53,326.93,351.88,407.18,619.93,790.12,152.72
Time to Second Token (ms),9.61,9.43,9.87,96.08,9.43,9.45,9.48,9.51,9.58,9.69,9.80,9.83,9.86,0.14

Metric,Value
Benchmark Duration (sec),171.67
Output Token Throughput (tokens/sec),101.11
Request Count,10.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),17358.00
Total Output Tokens (tokens),8884.00
Total Reasoning Tokens (tokens),8474.00
Total Token Throughput (tokens/sec),133.15


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
